name,ev_yield,sprite_img,link,dex_no
pidgeotto,2 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,https://pokemondb.net/pokedex/pidgeotto,17
pidgeot,3 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,https://pokemondb.net/pokedex/pidgeot,18
rattata,1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,https://pokemondb.net/pokedex/rattata,19
raticate,2 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,https://pokemondb.net/pokedex/raticate,20
spearow,1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,https://pokemondb.net/pokedex/spearow,21
fearow,2 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,https://pokemondb.net/pokedex/fearow,22
ekans,1 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,https://pokemondb.net/pokedex/ekans,23
arbok,2 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,https://pokemondb.net/pokedex/arbok,24
pikachu,2 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,https://pokemondb.net/pokedex/pikachu,25
raichu,3 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,https://pokemondb.net/pokedex/raichu,26
sandshrew,1 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,https://pokemondb.net/pokedex/sandshrew,27
sandslash,2 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,https://pokemondb.net/pokedex/sandslash,28
nidoran-f,1 HP,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,https://pokemondb.net/pokedex/nidoran-f,29
nidorina,2 HP,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,https://pokemondb.net/pokedex/nidorina,30
nidoqueen,3 HP,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,https://pokemondb.net/pokedex/nidoqueen,31
nidoran-m,1 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,https://pokemondb.net/pokedex/nidoran-m,32
nidorino,2 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,https://pokemondb.net/pokedex/nidorino,33
nidoking,3 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,https://pokemondb.net/pokedex/nidoking,34
clefairy,2 HP,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,https://pokemondb.net/pokedex/clefairy,35
clefable,3 HP,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,https://pokemondb.net/pokedex/clefable,36
vulpix,1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,https://pokemondb.net/pokedex/vulpix,37
ninetales,1 Special Defense/ 1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,https://pokemondb.net/pokedex/ninetales,38
jigglypuff,2 HP,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,https://pokemondb.net/pokedex/jigglypuff,39
wigglytuff,3 HP,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,https://pokemondb.net/pokedex/wigglytuff,40
zubat,1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,https://pokemondb.net/pokedex/zubat,41
golbat,2 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,https://pokemondb.net/pokedex/golbat,42
oddish,1 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,https://pokemondb.net/pokedex/oddish,43
gloom,2 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,https://pokemondb.net/pokedex/gloom,44
vileplume,3 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,https://pokemondb.net/pokedex/vileplume,45
paras,1 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,https://pokemondb.net/pokedex/paras,46
parasect,2 Attack/ 1 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,https://pokemondb.net/pokedex/parasect,47
venonat,1 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,https://pokemondb.net/pokedex/venonat,48
venomoth,1 Special Attack/ 1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,https://pokemondb.net/pokedex/venomoth,49
diglett,1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,https://pokemondb.net/pokedex/diglett,50
dugtrio,2 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,https://pokemondb.net/pokedex/dugtrio,51
meowth,1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,https://pokemondb.net/pokedex/meowth,52
persian,2 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png,https://pokemondb.net/pokedex/persian,53
psyduck,1 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png,https://pokemondb.net/pokedex/psyduck,54
golduck,2 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png,https://pokemondb.net/pokedex/golduck,55
mankey,1 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png,https://pokemondb.net/pokedex/mankey,56
primeape,2 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png,https://pokemondb.net/pokedex/primeape,57
growlithe,1 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png,https://pokemondb.net/pokedex/growlithe,58
arcanine,2 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,https://pokemondb.net/pokedex/arcanine,59
poliwag,1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png,https://pokemondb.net/pokedex/poliwag,60
poliwhirl,2 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png,https://pokemondb.net/pokedex/poliwhirl,61
poliwrath,3 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png,https://pokemondb.net/pokedex/poliwrath,62
abra,1 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png,https://pokemondb.net/pokedex/abra,63
kadabra,2 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png,https://pokemondb.net/pokedex/kadabra,64
alakazam,3 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png,https://pokemondb.net/pokedex/alakazam,65
machop,1 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png,https://pokemondb.net/pokedex/machop,66
machoke,2 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png,https://pokemondb.net/pokedex/machoke,67
machamp,3 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png,https://pokemondb.net/pokedex/machamp,68
bellsprout,1 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png,https://pokemondb.net/pokedex/bellsprout,69
weepinbell,2 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png,https://pokemondb.net/pokedex/weepinbell,70
victreebel,3 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png,https://pokemondb.net/pokedex/victreebel,71
tentacool,1 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png,https://pokemondb.net/pokedex/tentacool,72
tentacruel,2 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png,https://pokemondb.net/pokedex/tentacruel,73
geodude,1 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png,https://pokemondb.net/pokedex/geodude,74
graveler,2 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png,https://pokemondb.net/pokedex/graveler,75
golem,3 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png,https://pokemondb.net/pokedex/golem,76
ponyta,1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png,https://pokemondb.net/pokedex/ponyta,77
rapidash,2 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png,https://pokemondb.net/pokedex/rapidash,78
slowpoke,1 HP,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png,https://pokemondb.net/pokedex/slowpoke,79
slowbro,2 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png,https://pokemondb.net/pokedex/slowbro,80
magnemite,1 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png,https://pokemondb.net/pokedex/magnemite,81
magneton,2 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png,https://pokemondb.net/pokedex/magneton,82
farfetchd,1 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png,https://pokemondb.net/pokedex/farfetchd,83
doduo,1 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png,https://pokemondb.net/pokedex/doduo,84
dodrio,2 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png,https://pokemondb.net/pokedex/dodrio,85
seel,1 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png,https://pokemondb.net/pokedex/seel,86
dewgong,2 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png,https://pokemondb.net/pokedex/dewgong,87
grimer,1 HP,https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png,https://pokemondb.net/pokedex/grimer,88
muk,1 HP/ 1 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/muk.png,https://pokemondb.net/pokedex/muk,89
shellder,1 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png,https://pokemondb.net/pokedex/shellder,90
cloyster,2 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png,https://pokemondb.net/pokedex/cloyster,91
gastly,1 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png,https://pokemondb.net/pokedex/gastly,92
haunter,2 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png,https://pokemondb.net/pokedex/haunter,93
gengar,3 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png,https://pokemondb.net/pokedex/gengar,94
onix,1 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png,https://pokemondb.net/pokedex/onix,95
drowzee,1 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png,https://pokemondb.net/pokedex/drowzee,96
hypno,2 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png,https://pokemondb.net/pokedex/hypno,97
krabby,1 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png,https://pokemondb.net/pokedex/krabby,98
kingler,2 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png,https://pokemondb.net/pokedex/kingler,99
voltorb,1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png,https://pokemondb.net/pokedex/voltorb,100
electrode,2 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/electrode.png,https://pokemondb.net/pokedex/electrode,101
exeggcute,1 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/exeggcute.png,https://pokemondb.net/pokedex/exeggcute,102
exeggutor,2 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png,https://pokemondb.net/pokedex/exeggutor,103
cubone,1 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/cubone.png,https://pokemondb.net/pokedex/cubone,104
marowak,2 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/marowak.png,https://pokemondb.net/pokedex/marowak,105
hitmonlee,2 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonlee.png,https://pokemondb.net/pokedex/hitmonlee,106
hitmonchan,2 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonchan.png,https://pokemondb.net/pokedex/hitmonchan,107
lickitung,2 HP,https://img.pokemondb.net/sprites/sword-shield/icon/lickitung.png,https://pokemondb.net/pokedex/lickitung,108
koffing,1 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/koffing.png,https://pokemondb.net/pokedex/koffing,109
weezing,2 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/weezing.png,https://pokemondb.net/pokedex/weezing,110
rhyhorn,1 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/rhyhorn.png,https://pokemondb.net/pokedex/rhyhorn,111
rhydon,2 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/rhydon.png,https://pokemondb.net/pokedex/rhydon,112
chansey,2 HP,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png,https://pokemondb.net/pokedex/chansey,113
tangela,1 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/tangela.png,https://pokemondb.net/pokedex/tangela,114
kangaskhan,2 HP,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png,https://pokemondb.net/pokedex/kangaskhan,115
horsea,1 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/horsea.png,https://pokemondb.net/pokedex/horsea,116
seadra,1 Defense/ 1 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/seadra.png,https://pokemondb.net/pokedex/seadra,117
goldeen,1 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/goldeen.png,https://pokemondb.net/pokedex/goldeen,118
seaking,2 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/seaking.png,https://pokemondb.net/pokedex/seaking,119
staryu,1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/staryu.png,https://pokemondb.net/pokedex/staryu,120
starmie,2 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/starmie.png,https://pokemondb.net/pokedex/starmie,121
mr-mime,2 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime.png,https://pokemondb.net/pokedex/mr-mime,122
scyther,1 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/scyther.png,https://pokemondb.net/pokedex/scyther,123
jynx,2 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/jynx.png,https://pokemondb.net/pokedex/jynx,124
electabuzz,2 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/electabuzz.png,https://pokemondb.net/pokedex/electabuzz,125
magmar,2 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/magmar.png,https://pokemondb.net/pokedex/magmar,126
pinsir,2 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir.png,https://pokemondb.net/pokedex/pinsir,127
tauros,1 Attack/ 1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png,https://pokemondb.net/pokedex/tauros,128
magikarp,1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/magikarp.png,https://pokemondb.net/pokedex/magikarp,129
gyarados,2 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados.png,https://pokemondb.net/pokedex/gyarados,130
lapras,2 HP,https://img.pokemondb.net/sprites/sword-shield/icon/lapras.png,https://pokemondb.net/pokedex/lapras,131
ditto,1 HP,https://img.pokemondb.net/sprites/sword-shield/icon/ditto.png,https://pokemondb.net/pokedex/ditto,132
eevee,1 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/eevee.png,https://pokemondb.net/pokedex/eevee,133
vaporeon,2 HP,https://img.pokemondb.net/sprites/sword-shield/icon/vaporeon.png,https://pokemondb.net/pokedex/vaporeon,134
jolteon,2 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/jolteon.png,https://pokemondb.net/pokedex/jolteon,135
flareon,2 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/flareon.png,https://pokemondb.net/pokedex/flareon,136
porygon,1 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/porygon.png,https://pokemondb.net/pokedex/porygon,137
omanyte,1 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/omanyte.png,https://pokemondb.net/pokedex/omanyte,138
omastar,2 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/omastar.png,https://pokemondb.net/pokedex/omastar,139
kabuto,1 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/kabuto.png,https://pokemondb.net/pokedex/kabuto,140
kabutops,2 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png,https://pokemondb.net/pokedex/kabutops,141
aerodactyl,2 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png,https://pokemondb.net/pokedex/aerodactyl,142
snorlax,2 HP,https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png,https://pokemondb.net/pokedex/snorlax,143
articuno,3 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/articuno.png,https://pokemondb.net/pokedex/articuno,144
zapdos,3 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos.png,https://pokemondb.net/pokedex/zapdos,145
moltres,3 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/moltres.png,https://pokemondb.net/pokedex/moltres,146
dratini,1 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/dratini.png,https://pokemondb.net/pokedex/dratini,147
dragonair,2 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/dragonair.png,https://pokemondb.net/pokedex/dragonair,148
dragonite,3 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png,https://pokemondb.net/pokedex/dragonite,149
mewtwo,3 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo.png,https://pokemondb.net/pokedex/mewtwo,150
mew,3 HP,https://img.pokemondb.net/sprites/sword-shield/icon/mew.png,https://pokemondb.net/pokedex/mew,151
chikorita,1 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/chikorita.png,https://pokemondb.net/pokedex/chikorita,152
bayleef,1 Defense/ 1 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/bayleef.png,https://pokemondb.net/pokedex/bayleef,153
meganium,1 Defense/ 2 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/meganium.png,https://pokemondb.net/pokedex/meganium,154
cyndaquil,1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/cyndaquil.png,https://pokemondb.net/pokedex/cyndaquil,155
quilava,1 Special Attack/ 1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/quilava.png,https://pokemondb.net/pokedex/quilava,156
typhlosion,3 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/typhlosion.png,https://pokemondb.net/pokedex/typhlosion,157
totodile,1 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/totodile.png,https://pokemondb.net/pokedex/totodile,158
croconaw,1 Attack/ 1 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/croconaw.png,https://pokemondb.net/pokedex/croconaw,159
feraligatr,2 Attack/ 1 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/feraligatr.png,https://pokemondb.net/pokedex/feraligatr,160
sentret,1 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/sentret.png,https://pokemondb.net/pokedex/sentret,161
furret,2 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/furret.png,https://pokemondb.net/pokedex/furret,162
hoothoot,1 HP,https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png,https://pokemondb.net/pokedex/hoothoot,163
noctowl,2 HP,https://img.pokemondb.net/sprites/sword-shield/icon/noctowl.png,https://pokemondb.net/pokedex/noctowl,164
ledyba,1 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/ledyba.png,https://pokemondb.net/pokedex/ledyba,165
ledian,2 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/ledian.png,https://pokemondb.net/pokedex/ledian,166
spinarak,1 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/spinarak.png,https://pokemondb.net/pokedex/spinarak,167
ariados,2 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/ariados.png,https://pokemondb.net/pokedex/ariados,168
crobat,3 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png,https://pokemondb.net/pokedex/crobat,169
chinchou,1 HP,https://img.pokemondb.net/sprites/sword-shield/icon/chinchou.png,https://pokemondb.net/pokedex/chinchou,170
lanturn,2 HP,https://img.pokemondb.net/sprites/sword-shield/icon/lanturn.png,https://pokemondb.net/pokedex/lanturn,171
pichu,1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png,https://pokemondb.net/pokedex/pichu,172
cleffa,1 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png,https://pokemondb.net/pokedex/cleffa,173
igglybuff,1 HP,https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png,https://pokemondb.net/pokedex/igglybuff,174
togepi,1 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png,https://pokemondb.net/pokedex/togepi,175
togetic,2 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/togetic.png,https://pokemondb.net/pokedex/togetic,176
natu,1 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/natu.png,https://pokemondb.net/pokedex/natu,177
xatu,1 Special Attack/ 1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/xatu.png,https://pokemondb.net/pokedex/xatu,178
mareep,1 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/mareep.png,https://pokemondb.net/pokedex/mareep,179
flaaffy,2 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/flaaffy.png,https://pokemondb.net/pokedex/flaaffy,180
ampharos,3 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos.png,https://pokemondb.net/pokedex/ampharos,181
bellossom,3 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/bellossom.png,https://pokemondb.net/pokedex/bellossom,182
marill,2 HP,https://img.pokemondb.net/sprites/sword-shield/icon/marill.png,https://pokemondb.net/pokedex/marill,183
azumarill,3 HP,https://img.pokemondb.net/sprites/sword-shield/icon/azumarill.png,https://pokemondb.net/pokedex/azumarill,184
sudowoodo,2 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/sudowoodo.png,https://pokemondb.net/pokedex/sudowoodo,185
politoed,3 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/politoed.png,https://pokemondb.net/pokedex/politoed,186
hoppip,1 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/hoppip.png,https://pokemondb.net/pokedex/hoppip,187
skiploom,2 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/skiploom.png,https://pokemondb.net/pokedex/skiploom,188
jumpluff,3 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/jumpluff.png,https://pokemondb.net/pokedex/jumpluff,189
aipom,1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/aipom.png,https://pokemondb.net/pokedex/aipom,190
sunkern,1 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/sunkern.png,https://pokemondb.net/pokedex/sunkern,191
sunflora,2 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/sunflora.png,https://pokemondb.net/pokedex/sunflora,192
yanma,1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/yanma.png,https://pokemondb.net/pokedex/yanma,193
wooper,1 HP,https://img.pokemondb.net/sprites/sword-shield/icon/wooper.png,https://pokemondb.net/pokedex/wooper,194
quagsire,2 HP,https://img.pokemondb.net/sprites/sword-shield/icon/quagsire.png,https://pokemondb.net/pokedex/quagsire,195
espeon,2 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/espeon.png,https://pokemondb.net/pokedex/espeon,196
umbreon,2 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/umbreon.png,https://pokemondb.net/pokedex/umbreon,197
murkrow,1 Speed,https://img.pokemondb.net/sprites/sword-shield/icon/murkrow.png,https://pokemondb.net/pokedex/murkrow,198
slowking,2 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/slowking.png,https://pokemondb.net/pokedex/slowking,199
misdreavus,1 Special Defense,https://img.pokemondb.net/sprites/sword-shield/icon/misdreavus.png,https://pokemondb.net/pokedex/misdreavus,200
unown,1 Attack/ 1 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/unown.png,https://pokemondb.net/pokedex/unown,201
wobbuffet,2 HP,https://img.pokemondb.net/sprites/sword-shield/icon/wobbuffet.png,https://pokemondb.net/pokedex/wobbuffet,202
girafarig,2 Special Attack,https://img.pokemondb.net/sprites/sword-shield/icon/girafarig.png,https://pokemondb.net/pokedex/girafarig,203
pineco,1 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/pineco.png,https://pokemondb.net/pokedex/pineco,204
forretress,2 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/forretress.png,https://pokemondb.net/pokedex/forretress,205
dunsparce,1 HP,https://img.pokemondb.net/sprites/sword-shield/icon/dunsparce.png,https://pokemondb.net/pokedex/dunsparce,206
gligar,1 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/gligar.png,https://pokemondb.net/pokedex/gligar,207
steelix,2 Defense,https://img.pokemondb.net/sprites/sword-shield/icon/steelix.png,https://pokemondb.net/pokedex/steelix,208
snubbull,1 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/snubbull.png,https://pokemondb.net/pokedex/snubbull,209
granbull,2 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/granbull.png,https://pokemondb.net/pokedex/granbull,210
qwilfish,1 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/qwilfish.png,https://pokemondb.net/pokedex/qwilfish,211
scizor,2 Attack,https://img.pokemondb.net/sprites/sword-shield/icon/scizor.png,https://pokemondb.net/pokedex/scizor,212
